Year,Grand total,black_staff_stat,hispanic_staff_stat,women_staff_stat,grand_total,black_total,hispanic_total,women_total,total_cs,black_cs,hispanic_cs,women_cs
2002,197.445987654321,0.05422642541717144,0.04101371683145101,0.6028684200242291,762.9664835164835,18.0292945326626,18.03032849512912,18.02531046138806,42.312709030100336,0.0981899379520215,0.054440184958305333,0.2667667865470497
2003,194.1194788687639,0.051283856119064844,0.04250000818472599,0.6064587309746043,742.9045758928571,19.233298911892028,19.23444628378052,19.22868825294492,38.62105263157895,0.09432633778504587,0.05001362769146907,0.27239483964749706
2004,215.64770523594052,0.056134913236233056,0.045631536508526506,0.5957908557074642,789.4698987746403,21.00643488978331,21.00762934679072,21.00337792852239,37.57732793522267,0.1042061713497673,0.059321668677814174,0.2190786071367006
2005,205.7680025046963,0.050649475140097044,0.043533169106985,0.59481637130776,778.7703141928494,18.871089358535126,18.87225059164507,18.867611902394064,41.26246933769419,0.10256816740646799,0.05465282181357007,0.2460565948002537
2006,209.74479804161567,0.05217332948182643,0.04465121978974274,0.582218001126274,805.6671974522293,25.36564214526473,25.366925218075096,25.362628711723104,31.75801282051282,0.10480900237170106,0.06406115961043549,0.20050966342029572
2007,220.86544190665342,0.05455203530392988,0.0451887604732669,0.5853361899002525,812.0925248301098,29.46438632432384,29.465789910438534,29.461606694161613,27.55832662912309,0.10334257772587943,0.06466209312509123,0.17994453364472338
2015,135.72808456351376,0.06413647715981416,0.06008539893117061,0.4908639256653328,851.7212953876349,29.739980773437885,29.740714039577703,29.737380656619866,28.635708566853484,0.09587317564167085,0.07487558015992843,0.17032936308225688
2016,132.90612172050686,0.061937252995610155,0.05513158124438512,0.48212974016783205,863.7999044890163,27.63614591790886,27.636467595692718,27.633585558695206,31.252791068580542,0.09321017580566968,0.08315684723533465,0.17322854737056978
2017,132.59907176008568,0.06326835572547859,0.05738806171077785,0.48687838238065745,868.2675336739434,24.984124694054117,24.984438649392807,24.981950908632943,34.748829953198126,0.09843315075873216,0.08752357008170962,0.17396965071383677
2018,135.617535630525,0.06093427409914224,0.053265276802247616,0.4776780963327161,900.4651751794006,10.959737198059932,10.959308175210714,10.957924622185581,82.15373459028281,0.08183423073528114,0.11708006002294996,0.23074410804130993
2019,135.15580633418276,0.0599276004449556,0.05187961419225206,0.47340232120299613,929.5341535850657,11.433341628982093,11.43293878787753,11.431585012598363,81.29324424647365,0.08071998684955527,0.1134682471553031,0.2235210315793319
2020,135.31237132696987,0.058370010539798116,0.048051520524942805,0.46455612511653255,914.8740490278951,12.078398130522896,12.077983563119506,12.076537192178739,75.73825503355705,0.07725102151331659,0.10864963323979716,0.2181952444247526
2021,135.16032508311784,0.059311958325020016,0.049803350287936726,0.469052610289194,890.5906581740977,14.669774498479553,14.669384945631178,14.667724670595588,60.70381231671554,0.07942028985507246,0.10306763285024155,0.20385265700483093
2022,136.3069175218548,0.05771233619659615,0.046283916140464856,0.4613961438667572,892.8420392812369,13.095215243750642,13.094828057453897,13.093306107714975,68.17464996315401,0.08032384637834683,0.10672013662944668,0.2104785273421033
