,Unit Id,Grand total,Black total,Hispanic total,Grand total women,Year,UNITID,HRTOTLT,DVHRBKT,DVHRHST,HRBKAAT,HRTOTLW,HRHISPT
4390,111939.0,206.0,14.0,26.0,88.0,2002,,,,,,,
4443,111948.0,220.0,9.0,8.0,135.0,2002,,,,,,,
4500,112084.0,35.0,2.0,0.0,20.0,2002,,,,,,,
4540,112172.0,180.0,10.0,23.0,103.0,2002,,,,,,,
4596,112190.0,746.0,57.0,62.0,324.0,2002,,,,,,,
4647,112251.0,68.0,3.0,2.0,48.0,2002,,,,,,,
4685,112376.0,18.0,0.0,0.0,3.0,2002,,,,,,,
4725,112385.0,47.0,0.0,3.0,9.0,2002,,,,,,,
4769,112525.0,90.0,2.0,5.0,53.0,2002,,,,,,,
4824,112561.0,61.0,0.0,4.0,31.0,2002,,,,,,,
4877,113096.0,221.0,20.0,28.0,106.0,2002,,,,,,,
4930,113193.0,173.0,1.0,10.0,87.0,2002,,,,,,,
4989,113218.0,103.0,2.0,8.0,47.0,2002,,,,,,,
5042,113333.0,419.0,22.0,33.0,193.0,2002,,,,,,,
5097,113573.0,115.0,6.0,8.0,64.0,2002,,,,,,,
5148,113704.0,12.0,0.0,0.0,11.0,2002,,,,,,,
5169,113856.0,255.0,11.0,78.0,139.0,2002,,,,,,,
5224,113980.0,350.0,23.0,27.0,178.0,2002,,,,,,,
5284,114354.0,45.0,3.0,5.0,19.0,2002,,,,,,,
5338,114390.0,11.0,0.0,0.0,3.0,2002,,,,,,,
5380,114415.0,4.0,0.0,0.0,2.0,2002,,,,,,,
5418,114433.0,33.0,0.0,2.0,24.0,2002,,,,,,,
5468,114549.0,59.0,9.0,2.0,33.0,2002,,,,,,,
5511,114716.0,271.0,15.0,20.0,123.0,2002,,,,,,,
5560,115001.0,262.0,10.0,17.0,126.0,2002,,,,,,,
5611,115126.0,203.0,4.0,20.0,112.0,2002,,,,,,,
5663,115296.0,228.0,11.0,24.0,118.0,2002,,,,,,,
5723,115393.0,112.0,4.0,24.0,63.0,2002,,,,,,,
5775,115728.0,36.0,2.0,2.0,10.0,2002,,,,,,,
5812,115773.0,18.0,0.0,1.0,6.0,2002,,,,,,,
5845,116439.0,115.0,3.0,16.0,63.0,2002,,,,,,,
5891,116624.0,14.0,0.0,2.0,11.0,2002,,,,,,,
5918,117168.0,9.0,0.0,0.0,7.0,2002,,,,,,,
5955,117195.0,61.0,1.0,2.0,31.0,2002,,,,,,,
5996,117247.0,117.0,32.0,10.0,55.0,2002,,,,,,,
6044,117520.0,30.0,0.0,1.0,18.0,2002,,,,,,,
6083,117636.0,383.0,18.0,29.0,238.0,2002,,,,,,,
6141,117690.0,120.0,17.0,11.0,54.0,2002,,,,,,,
6194,117706.0,213.0,8.0,17.0,116.0,2002,,,,,,,
6252,117715.0,104.0,60.0,8.0,42.0,2002,,,,,,,
6305,117724.0,226.0,53.0,32.0,116.0,2002,,,,,,,
6365,117733.0,244.0,20.0,26.0,135.0,2002,,,,,,,
6421,117788.0,258.0,32.0,31.0,139.0,2002,,,,,,,
6478,117867.0,103.0,11.0,19.0,47.0,2002,,,,,,,
6532,118684.0,52.0,0.0,2.0,30.0,2002,,,,,,,
6579,118772.0,84.0,25.0,7.0,35.0,2002,,,,,,,
6625,118912.0,132.0,4.0,17.0,61.0,2002,,,,,,,
6673,118930.0,153.0,3.0,15.0,57.0,2002,,,,,,,
6720,118976.0,313.0,8.0,26.0,169.0,2002,,,,,,,
6777,119067.0,136.0,2.0,10.0,67.0,2002,,,,,,,
6827,119137.0,178.0,8.0,16.0,83.0,2002,,,,,,,
6876,119164.0,448.0,23.0,49.0,234.0,2002,,,,,,,
6924,119216.0,111.0,5.0,8.0,60.0,2002,,,,,,,
6983,119544.0,17.0,0.0,7.0,13.0,2002,,,,,,,
7025,119775.0,6.0,0.0,1.0,5.0,2002,,,,,,,
7057,120184.0,55.0,0.0,2.0,28.0,2002,,,,,,,
7107,120342.0,336.0,4.0,25.0,177.0,2002,,,,,,,
7159,120421.0,101.0,8.0,31.0,50.0,2002,,,,,,,
7207,120698.0,9.0,1.0,0.0,6.0,2002,,,,,,,
7241,120740.0,11.0,0.0,0.0,7.0,2002,,,,,,,
7272,120953.0,37.0,4.0,5.0,19.0,2002,,,,,,,
7318,120971.0,296.0,6.0,31.0,159.0,2002,,,,,,,
7378,121044.0,446.0,42.0,50.0,203.0,2002,,,,,,,
7463,121275.0,6.0,0.0,0.0,6.0,2002,,,,,,,
7490,121345.0,168.0,8.0,15.0,95.0,2002,,,,,,,
7541,121363.0,88.0,1.0,7.0,44.0,2002,,,,,,,
7594,121619.0,260.0,11.0,38.0,123.0,2002,,,,,,,
7652,121707.0,114.0,0.0,8.0,73.0,2002,,,,,,,
7710,121886.0,199.0,8.0,49.0,103.0,2002,,,,,,,
7759,121901.0,349.0,24.0,43.0,170.0,2002,,,,,,,
7814,122180.0,304.0,23.0,24.0,137.0,2002,,,,,,,
7868,122205.0,221.0,7.0,14.0,108.0,2002,,,,,,,
7921,122320.0,6.0,0.0,0.0,3.0,2002,,,,,,,
7969,122339.0,167.0,23.0,21.0,74.0,2002,,,,,,,
8018,122375.0,260.0,20.0,35.0,131.0,2002,,,,,,,
8072,122384.0,88.0,5.0,4.0,48.0,2002,,,,,,,
8122,122454.0,39.0,1.0,1.0,27.0,2002,,,,,,,
8163,122506.0,25.0,0.0,0.0,16.0,2002,,,,,,,
8203,122658.0,227.0,11.0,25.0,122.0,2002,,,,,,,
8251,122685.0,52.0,2.0,3.0,19.0,2002,,,,,,,
8274,122694.0,46.0,6.0,1.0,19.0,2002,,,,,,,
8294,122728.0,12.0,0.0,0.0,8.0,2002,,,,,,,
8324,122782.0,1.0,0.0,0.0,1.0,2002,,,,,,,
8351,122791.0,204.0,15.0,13.0,104.0,2002,,,,,,,
8400,122889.0,291.0,7.0,35.0,125.0,2002,,,,,,,
8451,122977.0,337.0,36.0,35.0,155.0,2002,,,,,,,
8503,123013.0,329.0,8.0,16.0,159.0,2002,,,,,,,
