,Unit Id,Grand total enrolled,Black total enrolled,Hispanic total enrolled,Total women enrolled,Year
49372,112570,425,50,76,202,2017
49373,112686,1579,405,1060,922,2017
49374,112826,1768,309,785,995,2017
49375,113096,3466,288,930,1764,2017
49376,113111,2063,62,1009,1075,2017
49377,113193,3372,52,1024,1719,2017
49378,113218,2362,85,735,1211,2017
49379,113236,5260,203,2409,2869,2017
49380,113333,9827,301,2417,4485,2017
49381,113449,159,8,102,116,2017
49382,113537,19,0,0,13,2017
49383,113573,4381,124,3172,2321,2017
49384,113582,80,2,12,75,2017
49385,113634,7377,316,1623,3442,2017
49386,113698,1135,59,238,834,2017
49387,113856,7986,121,5457,4258,2017
49388,113980,7834,844,3873,3847,2017
49389,114044,354,35,190,328,2017
49390,114123,301,7,135,253,2017
49391,114266,2784,49,1117,1506,2017
49392,114354,2113,128,451,1860,2017
49393,114390,229,14,56,202,2017
49394,114415,67,1,21,59,2017
49395,114433,545,77,67,286,2017
49396,114460,167,11,62,136,2017
49397,114628,3,1,2,0,2017
49398,114637,27,4,5,24,2017
49399,114716,4578,130,1217,2345,2017
49400,114761,61,1,12,58,2017
49401,114789,7794,458,4694,4266,2017
49402,114813,2342,111,1111,1657,2017
49403,114859,8403,321,4610,4237,2017
49404,114938,1871,52,1195,967,2017
49405,114947,203,1,4,118,2017
49406,115001,6634,133,1766,3575,2017
49407,115010,507,27,269,385,2017
49408,115083,178,20,27,42,2017
49409,115126,3636,82,1193,1847,2017
49410,115296,6191,383,2120,3385,2017
49411,115357,61,16,32,48,2017
49412,115393,3337,42,2844,1796,2017
49413,115409,844,32,148,403,2017
49414,115658,27,4,16,25,2017
49415,115728,543,87,246,336,2017
49416,115755,7270,262,2579,4158,2017
49417,115773,208,18,84,140,2017
49418,115861,4054,63,3738,2207,2017
49419,115931,587,33,342,229,2017
49420,116226,63,3,6,61,2017
49421,116350,222,17,56,198,2017
49422,116439,4793,76,1173,2207,2017
49423,116563,155,20,62,149,2017
49424,116712,47,7,7,27,2017
49425,116846,63,0,0,37,2017
49426,117052,3407,103,2618,1861,2017
49427,117104,431,22,154,240,2017
49428,117113,664,77,250,296,2017
49429,117140,3759,201,1995,2171,2017
49430,117168,563,10,104,386,2017
49431,117195,599,14,215,287,2017
49432,117238,117,25,56,87,2017
49433,117247,1851,418,319,948,2017
49434,117274,611,45,112,290,2017
49435,117557,70,5,1,25,2017
49436,117575,12,0,2,1,2017
49437,117627,1830,119,876,1089,2017
49438,117636,885,34,309,640,2017
49439,117645,9461,973,5713,5165,2017
49440,117672,135,6,30,94,2017
49441,117690,2658,236,1532,1383,2017
49442,117706,5316,287,2336,2807,2017
49443,117715,1249,651,487,810,2017
49444,117724,2624,482,1592,1167,2017
49445,117733,4367,197,1991,2372,2017
49446,117751,975,21,107,469,2017
49447,117788,3063,201,1329,1642,2017
49448,117867,2199,47,1584,1270,2017
49449,117894,2867,409,1192,1509,2017
49450,117928,321,28,87,112,2017
49451,117946,6164,422,1310,3456,2017
49452,117955,217,15,138,152,2017
49453,118134,44,2,32,41,2017
49454,118143,40,4,16,35,2017
49455,118161,158,1,29,149,2017
49456,118189,75,35,23,69,2017
49457,118198,781,61,195,599,2017
49458,118259,319,42,111,264,2017
49459,118277,912,75,302,697,2017
49460,118286,495,36,237,392,2017
49461,118347,1299,57,478,656,2017
49462,118541,887,70,362,449,2017
49463,118684,1039,26,417,583,2017
49464,118693,728,52,180,323,2017
49465,118718,4701,142,2953,2654,2017
49466,118772,908,303,326,555,2017
49467,118888,739,68,209,739,2017
49468,118912,5162,160,2004,2849,2017
49469,118930,1271,42,288,664,2017
49470,118958,29,1,25,24,2017
49471,118967,623,41,306,339,2017
49472,118976,5747,215,2999,3262,2017
49473,118994,206,111,49,37,2017
49474,119058,13,0,4,3,2017
49475,119067,2342,115,1136,1226,2017
49476,119137,5818,102,1891,2798,2017
49477,119164,10226,394,5883,5081,2017
49478,119173,2056,117,1331,1965,2017
49479,119216,5771,366,2833,3258,2017
49480,119270,753,55,77,174,2017
49481,119331,2122,115,981,1134,2017
49482,119553,913,79,176,626,2017
49483,119605,2899,259,743,1596,2017
49484,119775,407,7,123,142,2017
49485,119845,91,9,44,69,2017
49486,119951,177,14,70,156,2017
49487,120069,302,16,228,272,2017
49488,120078,635,16,473,526,2017
49489,120087,166,6,83,135,2017
49490,120184,718,43,334,474,2017
49491,120254,1952,93,275,1114,2017
49492,120290,3446,105,795,1679,2017
49493,120342,8375,139,2501,3960,2017
49494,120403,1049,48,45,703,2017
49495,120421,2105,40,1706,1115,2017
49496,120537,579,40,168,330,2017
49497,120661,581,71,271,455,2017
49498,120698,113,2,14,77,2017
49499,120838,8,0,0,3,2017
49500,120865,1077,86,286,656,2017
49501,120883,3452,115,686,1884,2017
