,Unnamed: 0,names
226,228,Nevada (Las Vegas and Reno)
227,229,Nevada (Las Vegas)
228,230,Nevada (Reno)
229,231,New Brunswick
230,232,New Hampshire
231,233,New Jersey Institute of Technology
232,234,"New Jersey Institute of Technology, New Mexico State"
233,235,New Mexico
234,236,New Mexico
235,237,New Mexico Institute of Mining and Technology
236,238,New Mexico State
237,239,"New Mexico State, North Carolina State"
238,240,New Mexico Tech
239,241,New Mexico Technology
240,242,New York
241,243,New York University
242,244,New Mexico
243,245,North Carolina (Chapel Hill
244,246,North Carolina (Chapel Hill and Charlotte)
245,247,North Carolina (Chapel Hill)
246,248,North Carolina (Charlotte)
247,249,North Carolina A&T
248,250,North Carolina State
249,251,North Dakota
250,252,North Dakota State
251,253,North Texas
252,254,Northeastern
253,255,Northwestern
254,256,North Texas
255,257,Notre Dame
256,258,Nova Southeastern
257,259,Oakland
258,260,Ohio
259,261,Ohio State
260,262,Oklahoma
261,263,Oklahoma State
262,264,Old Dominion
263,265,Oregon
264,266,Oregon Health
265,267,Oregon Health & Science
266,268,Oregon Health and Science
267,269,Oregon State
268,270,Oregon State
269,271,Ottawa
270,272,Pace
271,273,Penn State
272,274,Pennsylvania
273,275,Pennsylvania State
274,276,Penn State
275,277,Pittsburgh
276,278,Polytechnic
277,279,Portland State
278,280,Princeton
279,281,Purdue
280,282,Purdue (IT)
281,283,Quebec (Montreal)
282,284,Queen's
283,285,Queen’s
284,286,Regina
285,287,Reno)
286,288,Rensselaer
287,289,Rensselaer Polytechnic
288,290,Rensselaer Polytechnic Institute
289,291,Rhode Island
290,292,Rice
291,293,Riverside
292,294,Rochester
293,295,Rochester Institute of Technology
294,296,Rutgers
295,297,San Diego
296,298,Santa Barbara
297,299,Santa Clara
298,300,Santa Clara University
299,301,Santa Clara; Universities of California (Santa Cruz)
300,302,Santa Cruz)
301,303,Saskatchewan
302,304,Simon Fraser
303,305,Simon Fraser ; Universities of British Columbia
304,306,"Simon Fraser, and York. Universities of: Alberta"
305,307,South Carolina
306,308,South Florida
307,309,Southern California
308,310,Southern Illinois
309,311,Southern Illinois (Carbondale)
310,312,Southern Illinois Carbondale
311,313,Southern Illinois University (Carbondale)
312,314,Southern Methodist
313,315,Southern Methodist University
314,316,Southern Mississippi
315,317,Stanford
316,318,State
317,319,State
318,320,State University of New York (Albany and Binghamton)
319,321,State University of New York (Albany and Buffalo)
320,322,State University of New York (Albany)
321,323,State University of New York (Binghamton)
322,324,Stevens Institute
323,325,Stevens Institute
324,326,Stevens Institute of Technology
325,327,Stony Brook (SUNY)
326,328,Stony Brook SUNY
327,329,Syracuse
328,330,Tech
329,331,Temple
330,332,Tennessee (Knoxville)
331,333,Tennessee Tech
332,334,Texas
333,335,Texas (Arlington
334,336,Texas (Austin
335,337,Texas (Austin and El Paso)
336,338,Texas (Austin)
337,339,Texas (at Arlington
338,340,Texas (at Dallas
339,341,Texas A&M
340,342,Texas State
341,343,Texas Tech
342,344,Texas Tech University
343,345,Toledo
344,346,Toronto
345,347,Toronto (CS and ECE)
346,348,Toronto Metropolitan
347,349,Toyota Technological Institute
348,350,Toyota Technological Institute (Chicago)
349,351,Toyota Technological Institute at Chicago
350,352,Tufts
351,353,Tufts; the Universities of Chicago
352,354,Tulane
353,355,Tulsa
354,356,U.S. CE (6):
355,357,U.S. CE (6): Boston University
356,358,U.S. CE (6): North Carolina State
357,359,U.S. CE (7): Boston University
358,360,U.S. CE (8): Iowa State
359,361,U.S. CS Private (37 departments): Boston University
360,362,U.S. CS Private (38):
361,363,U.S. CS Private (39): Boston University
362,364,U.S. CS Private (40): Boston University
363,365,U.S. CS Private (41):
364,366,U.S. CS Private (41): Boston University
365,367,U.S. Computer Engineering (13 departments): Boston University
366,368,U.S. Information (14): Cornell
367,369,U.S. Information (15): Cornell
368,370,U.S. Information (16):
369,371,U.S. Information (16): Cornell
370,372,U.S. Information Programs (16 departments): Cornell
371,373,US CE (10): Florida Institute of Technology
372,374,US CE (11): Florida Institute of Technology
373,375,US CE (8): Northeastern
