,Year,black_pct,hispanic_pct,women_pct,grand_total,black_total,hispanic_total,women_total,total_cs,black_cs,hispanic_cs,women_cs,black_noncs,hispanic_noncs,women_noncs
0,2002,0.01,0.017,0.138,1106.885072655218,82.75825627476883,70.30118890356671,621.2642007926024,46.552805280528055,0.07624685406401759,0.0439190386728581,0.24288398142568499,0.0746979171219335,0.06347295812415224,0.5610531139619205
1,2003,0.009000000000000001,0.017,0.14,1060.7910052910054,77.7420634920635,66.15079365079364,596.026455026455,42.22260273972603,0.07823018898531917,0.04347473436612864,0.2511558115013383,0.0732131333275896,0.06231889089056933,0.561633060841721
2,2004,0.011000000000000001,0.02,0.14400000000000002,1166.2134387351778,88.8840579710145,77.167325428195,654.1488801054019,40.01477832512315,0.08346669949526038,0.05063810579014321,0.19910542082153554,0.07614437316708367,0.06612570629098745,0.5607462175996056
3,2005,0.011000000000000001,0.017,0.149,1138.8194993412385,86.4927536231884,72.99209486166008,640.5243741765481,44.714983713355046,0.0823529411764706,0.04534693134219632,0.23008559460936076,0.07587716993957067,0.06405470574793869,0.5622438753044915
4,2006,0.013000000000000001,0.017,0.154,1186.7744063324537,90.71503957783641,80.7862796833773,668.0145118733509,32.927868852459014,0.0827441999402569,0.05491387035746291,0.1801752464403067,0.07636859616646226,0.06802587364729905,0.5627306529896877
5,2007,0.012,0.018000000000000002,0.158,1211.8361955085866,92.65918097754293,85.29590488771467,679.1439894319683,28.22772277227723,0.08084882497369343,0.055769905296387236,0.16549748626213023,0.07639508746783695,0.07033965093495535,0.5602890014856758
6,2008,0.013000000000000001,0.017,0.166,1288.4195250659632,99.36807387862797,100.97229551451187,716.7757255936675,27.176079734219268,0.07573349633251834,0.062408312958435214,0.15800733496332517,0.07706522483599586,0.07832067524464685,0.5561990518748274
7,2009,0.013000000000000001,0.023,0.17,1250.9486166007905,96.36627140974967,93.51515151515152,698.1040843214756,26.04882154882155,0.07826536547534416,0.059135267885994956,0.15775867640405866,0.0769719913084186,0.07470811750942583,0.5579336484192331
8,2010,0.013000000000000001,0.021,0.17600000000000002,1232.7678100263852,94.82849604221636,89.60290237467018,689.0303430079156,25.486842105263158,0.07569695405265875,0.059499225606608155,0.15591120289106866,0.07686183749893315,0.07263606530020203,0.5588030659157789
9,2011,0.013999999999999999,0.023,0.19,1485.476253298153,117.73482849604221,172.5065963060686,821.9313984168865,65.48726655348048,0.05545473400394068,0.08889868298247433,0.20667841957896918,0.07921996295851833,0.11606896928865264,0.5531725722123525
10,2012,0.016,0.02,0.195,1458.824538258575,116.31662269129288,162.35224274406332,807.976253298153,56.62755102040816,0.05712226326696099,0.08583355857885094,0.20440279905096556,0.07969395727796501,0.11123092937495058,0.5537141920188384
11,2013,0.021,0.023,0.192,1420.7796833773086,114.21635883905013,142.58707124010553,788.11345646438,42.18760757314974,0.06327771204765208,0.08139202806903023,0.18102076618661012,0.08034537828951167,0.10030103954843227,0.5545774935528456
12,2014,0.017,0.024,0.195,1437.604221635884,115.93271767810026,151.8641160949868,796.4419525065963,48.43515358361775,0.06253743437973434,0.0816686044463235,0.18718951485043867,0.08059949915274253,0.10558013478690514,0.553876199727397
13,2015,0.02,0.022000000000000002,0.2,1333.9472295514513,104.62005277044855,109.00791556728232,741.5791556728232,30.001672240802677,0.07112201103617412,0.06521375620088066,0.15846385374282368,0.0783756122006173,0.0816694239454391,0.555809611800302
14,2016,0.022000000000000002,0.022000000000000002,0.20600000000000002,1381.6451187335092,111.14379947229551,121.03562005277045,768.915567282322,33.08783783783784,0.06973657341229324,0.07356544823361241,0.16852154380232795,0.08039261413285324,0.0875492939282536,0.5563997840800067
15,2017,0.019,0.024,0.205,1400.2176781002638,113.09366754617415,131.71240105540898,778.4736147757257,36.59114139693356,0.07230317985008614,0.07542250570324503,0.17319242050374783,0.08071699574573653,0.09401179588612489,0.5558424483050206
16,2018,0.018000000000000002,0.026000000000000002,0.20800000000000002,1562.8918558077437,122.4392523364486,223.50200267022697,883.3097463284379,106.46833333333333,0.05849939731688609,0.09999843458931451,0.2499804323664313,0.07830404418857383,0.14294143475472756,0.5650165509626275
17,2019,0.02,0.026000000000000002,0.226,1598.775265957447,127.2938829787234,223.28324468085106,900.4507978723404,102.81939799331104,0.05926552385908987,0.09628208047360375,0.24394171030803757,0.07958255307300381,0.13959870868199797,0.5630602845378222
18,2020,0.023,0.027999999999999997,0.23199999999999998,1584.0529801324503,122.73112582781457,209.91523178807947,883.5430463576159,96.01006711409396,0.05527594281919542,0.09401978260109749,0.2362378106322743,0.07744428464427866,0.1324584560220544,0.5576245363164092
19,2021,0.024,0.026000000000000002,0.239,1511.571240105541,119.15303430079156,183.0,837.4379947229552,75.17508417508418,0.055426165629058985,0.08955524701034621,0.22114480225735655,0.07879060210675011,0.1210068304423538,0.5538719100412638
20,2022,0.024,0.027999999999999997,0.243,1536.0448548812665,120.73218997361478,194.5725593667546,851.2335092348285,86.41467576791808,0.054839155591540116,0.09190544836983353,0.2277691107644306,0.07856368935746436,0.12661131170770257,0.5540240165641811
