,unitid,sabdtype,line,xstaff01,staff01,xstaff02,staff02,xstaff03,staff03,xstaff04,staff04,xstaff05,staff05,xstaff06,staff06,xstaff07,staff07,xstaff08,staff08,xstaff09,staff09,xstaff10,staff10,xstaff11,staff11,xstaff12,staff12,xstaff13,staff13,xstaff14,staff14,xstaff15,staff15,xstaff16,staff16,xstaff17,staff17,xstaff18,staff18,xstaff19,staff19,xstaff20,staff20,xstaff21,staff21,xstaff22,staff22,xstaff23,staff23,xstaff24,staff24,Year
1167,101523,11,18,Z,0,Z,0,R,3,R,4,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,23,R,6,Z,0,R,1,R,27,R,11,Z,0,R,7,Z,0,R,1,Z,0,R,29,R,1,R,38,2002
1211,101569,11,18,Z,0,Z,0,R,22,R,30,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,3,R,2,Z,0,Z,0,R,25,R,32,Z,0,R,52,Z,0,Z,0,Z,0,R,5,Z,0,R,57,2002
1257,101602,11,18,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,8,R,10,R,1,Z,0,R,10,R,11,Z,0,R,2,Z,0,Z,0,Z,0,R,18,R,1,R,21,2002
1291,101648,11,18,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,12,R,6,Z,0,Z,0,R,12,R,7,Z,0,R,1,Z,0,Z,0,Z,0,R,18,Z,0,R,19,2002
1328,101736,11,18,R,0,R,0,R,5,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,35,R,33,R,0,R,0,R,40,R,34,Z,0,R,6,Z,0,Z,0,Z,0,R,68,Z,0,R,74,2002
1371,101879,11,18,Z,0,Z,0,R,3,R,8,R,1,Z,0,R,4,R,5,R,1,R,1,R,106,R,69,Z,0,Z,0,R,115,R,83,Z,0,R,11,R,1,R,9,R,2,R,175,Z,0,R,198,2002
1426,101897,11,18,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,13,R,15,Z,0,Z,0,R,14,R,16,Z,0,R,1,Z,0,Z,0,R,1,R,28,Z,0,R,30,2002
1463,101949,11,18,R,0,R,0,R,2,R,7,R,0,R,0,R,0,R,0,R,0,R,0,R,15,R,12,R,0,R,0,R,17,R,19,Z,0,R,9,Z,0,Z,0,Z,0,R,27,Z,0,R,36,2002
1505,101994,11,18,Z,0,Z,0,R,3,R,4,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,R,10,R,8,Z,0,Z,0,R,13,R,13,Z,0,R,7,R,1,Z,0,Z,0,R,18,Z,0,R,26,2002
1549,102030,11,18,R,0,R,0,R,30,R,45,R,0,R,0,R,1,R,1,R,0,R,0,R,25,R,20,R,0,R,0,R,56,R,66,Z,0,R,75,Z,0,R,2,Z,0,R,45,Z,0,R,122,2002
1598,102067,11,18,Z,0,Z,0,R,2,R,10,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,29,R,32,Z,0,Z,0,R,31,R,42,Z,0,R,12,Z,0,Z,0,Z,0,R,61,Z,0,R,73,2002
1647,102076,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,15,R,13,Z,0,Z,0,R,15,R,13,Z,0,Z,0,Z,0,Z,0,Z,0,R,28,Z,0,R,28,2002
1695,102094,11,18,R,4,R,1,R,5,R,12,R,5,R,2,R,35,R,8,R,8,R,2,R,379,R,203,Z,0,Z,0,R,436,R,228,R,5,R,17,R,7,R,43,R,10,R,582,Z,0,R,664,2002
1767,102234,11,18,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,R,1,R,1,R,39,R,26,Z,0,Z,0,R,40,R,28,Z,0,R,1,Z,0,Z,0,R,2,R,65,Z,0,R,68,2002
1818,102298,11,18,R,0,R,0,R,8,R,13,R,0,R,0,R,4,R,1,R,0,R,0,R,12,R,5,R,0,R,0,R,24,R,19,Z,0,R,21,Z,0,R,5,Z,0,R,17,Z,0,R,43,2002
1864,102313,11,18,Z,0,Z,0,R,5,R,18,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,2,R,6,Z,0,Z,0,R,8,R,24,Z,0,R,23,Z,0,R,1,Z,0,R,8,Z,0,R,32,2002
1903,102322,11,18,Z,0,Z,0,Z,0,R,2,Z,0,R,1,R,2,Z,0,Z,0,Z,0,R,38,R,16,Z,0,Z,0,R,40,R,19,Z,0,R,2,R,1,R,2,Z,0,R,54,Z,0,R,59,2002
1949,102359,11,18,R,2,R,0,R,1,R,3,R,0,R,0,R,1,R,0,R,0,R,0,R,19,R,10,R,0,R,0,R,23,R,13,R,2,R,4,Z,0,R,1,Z,0,R,29,Z,0,R,36,2002
1994,102368,11,18,Z,0,Z,0,R,9,R,15,R,1,Z,0,R,5,R,2,R,2,Z,0,R,159,R,107,R,6,R,1,R,182,R,125,Z,0,R,24,R,1,R,7,R,2,R,266,R,7,R,307,2002
2056,102395,11,18,R,0,R,0,R,1,R,0,R,0,R,0,R,1,R,0,R,0,R,0,R,3,R,1,R,0,R,0,R,5,R,1,Z,0,R,1,Z,0,R,1,Z,0,R,4,Z,0,R,6,2002
2092,102429,11,18,Z,0,Z,0,R,1,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,55,R,52,Z,0,Z,0,R,56,R,55,Z,0,R,4,Z,0,Z,0,Z,0,R,107,Z,0,R,111,2002
2137,102553,11,18,R,7,R,4,R,2,R,4,R,9,R,5,R,7,R,5,R,7,R,2,R,214,R,188,R,2,R,0,R,248,R,208,R,11,R,6,R,14,R,12,R,9,R,402,R,2,R,456,2002
2202,102614,11,18,R,43,R,21,R,3,R,0,R,8,R,11,R,28,R,7,R,4,R,4,R,292,R,137,R,0,R,0,R,378,R,180,R,64,R,3,R,19,R,35,R,8,R,429,Z,0,R,558,2002
2272,102632,11,18,R,1,R,1,R,0,R,0,R,1,R,2,R,0,R,0,R,1,R,0,R,53,R,43,R,0,R,0,R,56,R,46,R,2,Z,0,R,3,Z,0,R,1,R,96,Z,0,R,102,2002
2325,103361,11,18,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,5,R,0,R,0,R,1,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,R,6,Z,0,R,6,2002
2396,103778,11,18,R,1,R,1,R,1,Z,0,Z,0,Z,0,R,9,R,4,R,1,R,4,R,31,R,12,Z,0,Z,0,R,43,R,21,R,2,R,1,Z,0,R,13,R,5,R,43,Z,0,R,64,2002
2440,103963,11,18,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2,R,0,R,14,R,0,R,0,R,0,R,17,R,0,R,1,Z,0,Z,0,Z,0,R,2,R,14,Z,0,R,17,2002
