,unitid,sabdtype,line,xstaff01,staff01,xstaff02,staff02,xstaff03,staff03,xstaff04,staff04,xstaff05,staff05,xstaff06,staff06,xstaff07,staff07,xstaff08,staff08,xstaff09,staff09,xstaff10,staff10,xstaff11,staff11,xstaff12,staff12,xstaff13,staff13,xstaff14,staff14,xstaff15,staff15,xstaff16,staff16,xstaff17,staff17,xstaff18,staff18,xstaff19,staff19,xstaff20,staff20,xstaff21,staff21,xstaff22,staff22,xstaff23,staff23,xstaff24,staff24,Year
72095,173920,11,18,R,24,R,10,R,1,R,2,R,0,R,2,R,11,R,5,R,7,R,1,R,228,R,176,R,2,R,0,R,273,R,196,R,34,R,3,R,2,R,16,R,8,R,404,R,2,R,469,2003
72145,173984,11,18,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,11,R,37,Z,0,Z,0,R,13,R,37,Z,0,R,1,Z,0,R,1,Z,0,R,48,Z,0,R,50,2003
72179,173993,11,18,R,1,R,0,R,0,R,0,R,0,R,1,R,0,R,0,R,0,R,1,R,24,R,14,R,0,R,0,R,25,R,16,R,1,R,0,R,1,R,0,R,1,R,38,R,0,R,41,2003
72220,174020,11,18,R,3,R,2,R,3,R,5,R,2,R,0,R,5,R,2,R,2,R,3,R,36,R,37,R,0,R,0,R,51,R,49,R,5,R,8,R,2,R,7,R,5,R,73,R,0,R,100,2003
72263,174066,11,18,R,112,R,42,R,33,R,19,R,11,R,10,R,173,R,43,R,32,R,13,R,1542,R,629,R,15,R,7,R,1918,R,763,R,154,R,52,R,21,R,216,R,45,R,2171,R,22,R,2681,2003
72334,174075,11,18,R,1,Z,0,R,2,Z,0,Z,0,Z,0,R,2,R,1,Z,0,Z,0,R,33,R,13,Z,0,Z,0,R,38,R,14,R,1,R,2,Z,0,R,3,Z,0,R,46,Z,0,R,52,2003
72385,174118,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,3,R,5,Z,0,Z,0,R,3,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,R,8,Z,0,R,8,2003
72411,174127,11,18,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,2,Z,0,R,1,Z,0,R,16,R,11,Z,0,Z,0,R,19,R,13,Z,0,R,1,R,1,R,2,R,1,R,27,Z,0,R,32,2003
72455,174136,11,18,R,4,R,1,R,2,R,3,R,0,R,0,R,2,R,1,R,0,R,0,R,65,R,59,R,1,R,0,R,74,R,64,R,5,R,5,R,0,R,3,R,0,R,124,R,1,R,138,2003
72498,174154,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,R,5,R,15,Z,0,Z,0,R,5,R,16,Z,0,Z,0,R,1,Z,0,Z,0,R,20,Z,0,R,21,2003
72530,174206,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,5,R,2,Z,0,Z,0,R,6,R,2,Z,0,Z,0,Z,0,Z,0,R,1,R,7,Z,0,R,8,2003
72559,174233,11,18,R,23,R,10,R,5,R,1,R,4,R,4,R,13,R,11,R,3,R,3,R,189,R,122,R,2,R,2,R,239,R,153,R,33,R,6,R,8,R,24,R,6,R,311,R,4,R,392,2003
72627,174251,11,18,R,7,R,2,R,3,Z,0,Z,0,R,2,R,4,R,2,R,2,R,1,R,56,R,40,R,1,Z,0,R,73,R,47,R,9,R,3,R,2,R,6,R,3,R,96,R,1,R,120,2003
72685,174279,11,18,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,9,R,9,R,0,R,0,R,9,R,9,R,0,R,0,R,0,R,0,R,0,R,18,R,0,R,18,2003
72721,174358,11,18,R,14,R,9,R,4,R,3,R,1,R,3,R,4,R,2,R,0,R,1,R,138,R,91,R,4,R,2,R,165,R,111,R,23,R,7,R,4,R,6,R,1,R,229,R,6,R,276,2003
72770,174376,11,18,R,0,R,1,R,1,R,1,R,0,R,0,R,1,R,4,R,0,R,0,R,30,R,45,R,0,R,0,R,32,R,51,R,1,R,2,R,0,R,5,R,0,R,75,R,0,R,83,2003
72812,174394,11,18,R,0,Z,0,R,2,R,2,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,57,R,29,Z,0,Z,0,R,61,R,31,R,0,R,4,R,1,R,1,Z,0,R,86,Z,0,R,92,2003
72842,174428,11,18,R,9,R,3,R,2,R,0,R,0,R,1,R,1,R,3,R,3,R,2,R,69,R,85,R,0,R,0,R,84,R,94,R,12,R,2,R,1,R,4,R,5,R,154,R,0,R,178,2003
72886,174437,11,18,Z,0,Z,0,R,3,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,22,R,13,Z,0,Z,0,R,25,R,15,Z,0,R,5,Z,0,Z,0,Z,0,R,35,Z,0,R,40,2003
72926,174464,11,18,R,0,R,0,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,3,R,8,R,0,R,0,R,3,R,9,R,0,R,1,R,0,R,0,R,0,R,11,R,0,R,12,2003
72952,174473,11,18,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,40,R,22,R,0,R,0,R,40,R,22,R,0,R,0,R,0,R,0,R,0,R,62,R,0,R,62,2003
72995,174491,11,18,R,0,R,0,R,0,R,1,R,0,R,0,R,0,R,1,R,1,R,0,R,53,R,28,R,0,R,0,R,54,R,30,R,0,R,1,R,0,R,1,R,1,R,81,R,0,R,84,2003
73046,174507,11,18,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,R,3,R,4,Z,0,Z,0,R,35,R,20,Z,0,Z,0,R,38,R,25,Z,0,R,1,Z,0,R,7,Z,0,R,55,Z,0,R,63,2003
73091,174525,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,5,R,2,Z,0,Z,0,R,5,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,R,7,Z,0,R,7,2003
73122,174561,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,13,R,5,Z,0,Z,0,R,13,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,R,18,Z,0,R,18,2003
73155,174570,11,18,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,6,R,6,R,0,R,0,R,6,R,6,R,0,R,0,R,0,R,0,R,0,R,12,R,0,R,12,2003
73190,174604,11,18,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,8,R,7,R,0,R,0,R,9,R,7,R,1,R,0,R,0,R,0,R,0,R,15,R,0,R,16,2003
73221,174622,11,18,R,0,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,7,R,0,R,0,R,1,R,9,R,1,R,1,R,0,R,0,R,0,R,8,R,0,R,10,2003
73249,174631,11,18,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,3,R,6,R,0,R,0,R,3,R,6,R,0,R,0,R,0,R,0,R,0,R,9,R,0,R,9,2003
73277,174659,11,18,R,0,R,0,R,0,R,0,R,1,R,0,R,0,R,0,R,0,R,1,R,29,R,19,R,0,R,0,R,30,R,20,R,0,R,0,R,1,R,0,R,1,R,48,R,0,R,50,2003
73321,174738,11,18,R,0,R,1,R,0,R,0,R,0,R,1,R,1,R,2,R,1,R,1,R,42,R,63,R,0,R,0,R,44,R,68,R,1,R,0,R,1,R,3,R,2,R,105,R,0,R,112,2003
73365,174747,11,18,Z,0,Z,0,R,1,R,1,Z,0,R,1,Z,0,R,5,R,1,R,6,R,56,R,72,Z,0,Z,0,R,58,R,85,Z,0,R,2,R,1,R,5,R,7,R,128,Z,0,R,143,2003
73415,174756,11,18,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,0,R,0,R,62,R,31,R,1,R,0,R,64,R,31,R,0,R,0,R,0,R,1,R,0,R,93,R,1,R,95,2003
73459,174783,11,18,R,49,R,23,R,12,R,2,R,4,R,2,R,11,R,2,R,5,R,5,R,230,R,158,R,10,R,6,R,321,R,198,R,72,R,14,R,6,R,13,R,10,R,388,R,16,R,519,2003
73511,174792,11,18,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,3,R,3,Z,0,R,4,R,101,R,32,Z,0,Z,0,R,105,R,39,Z,0,R,1,Z,0,R,6,R,4,R,133,Z,0,R,144,2003
73564,174817,11,18,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,R,48,R,34,R,19,R,8,R,68,R,43,Z,0,R,1,Z,0,R,1,Z,0,R,82,R,27,R,111,2003
73616,174844,11,18,R,2,R,1,R,2,R,1,Z,0,Z,0,R,2,R,2,R,1,R,1,R,117,R,81,R,1,Z,0,R,125,R,86,R,3,R,3,Z,0,R,4,R,2,R,198,R,1,R,211,2003
73669,174862,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,25,R,4,Z,0,Z,0,R,26,R,4,Z,0,Z,0,Z,0,R,1,Z,0,R,29,Z,0,R,30,2003
73705,174899,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,1,R,1,Z,0,Z,0,R,47,R,70,R,7,R,2,R,55,R,75,Z,0,Z,0,R,2,R,2,Z,0,R,117,R,9,R,130,2003
73752,174914,11,18,R,12,R,1,R,6,R,2,R,1,R,0,R,14,R,6,R,4,R,3,R,200,R,123,R,1,R,1,R,238,R,136,R,13,R,8,R,1,R,20,R,7,R,323,R,2,R,374,2003
73811,174932,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,4,R,5,Z,0,Z,0,R,4,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,R,9,Z,0,R,9,2003
73843,175005,11,18,Z,0,Z,0,Z,0,R,6,Z,0,Z,0,R,1,R,8,Z,0,R,2,R,52,R,163,Z,0,R,0,R,53,R,179,Z,0,R,6,Z,0,R,9,R,2,R,215,R,0,R,232,2003
73891,175014,11,18,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,3,R,7,R,0,R,0,R,3,R,7,R,0,R,0,R,0,R,0,R,0,R,10,R,0,R,10,2003
73921,175041,11,18,R,0,R,0,R,1,R,1,R,0,R,0,R,2,R,0,R,0,R,1,R,47,R,44,R,0,R,0,R,50,R,46,R,0,R,2,R,0,R,2,R,1,R,91,R,0,R,96,2003
73967,175078,11,18,R,4,R,3,R,0,R,0,R,3,R,1,R,1,R,0,R,3,R,2,R,63,R,38,R,0,R,0,R,74,R,44,R,7,R,0,R,4,R,1,R,5,R,101,R,0,R,118,2003
74013,175139,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,2,R,6,Z,0,Z,0,R,3,R,6,Z,0,Z,0,Z,0,R,1,Z,0,R,8,Z,0,R,9,2003
74041,175157,11,18,R,0,R,0,R,0,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,8,R,6,R,0,R,0,R,9,R,6,R,0,R,0,R,1,R,0,R,0,R,14,R,0,R,15,2003
74069,175227,11,18,Z,0,Z,0,R,1,R,1,Z,0,Z,0,R,2,Z,0,Z,0,Z,0,R,64,R,15,R,2,R,1,R,69,R,17,Z,0,R,2,Z,0,R,2,Z,0,R,79,R,3,R,86,2003
74112,175236,11,18,R,0,R,0,R,0,R,0,R,1,R,1,R,0,R,0,R,1,R,0,R,77,R,45,R,0,R,0,R,79,R,46,R,0,R,0,R,2,R,0,R,1,R,122,R,0,R,125,2003
74156,175272,11,18,R,7,R,2,R,4,R,1,R,0,R,1,R,7,R,3,R,3,R,2,R,153,R,118,R,0,R,1,R,174,R,128,R,9,R,5,R,1,R,10,R,5,R,271,R,1,R,302,2003
74203,175281,11,18,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,3,R,1,Z,0,Z,0,R,18,R,12,R,3,Z,0,R,25,R,13,Z,0,R,1,Z,0,R,4,Z,0,R,30,R,3,R,38,2003
74244,175315,11,18,R,1,R,0,R,7,R,1,R,0,R,0,R,1,R,1,R,0,R,0,R,75,R,79,R,0,R,0,R,84,R,81,R,1,R,8,R,0,R,2,R,0,R,154,R,0,R,165,2003
74291,175342,11,18,R,9,R,2,R,56,R,65,Z,0,Z,0,R,15,R,9,R,2,Z,0,R,25,R,18,Z,0,Z,0,R,107,R,94,R,11,R,121,Z,0,R,24,R,2,R,43,Z,0,R,201,2003
74351,175421,11,18,Z,0,Z,0,R,1,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,36,R,18,Z,0,Z,0,R,37,R,20,Z,0,R,3,Z,0,Z,0,Z,0,R,54,Z,0,R,57,2003
74391,175430,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,9,R,12,Z,0,Z,0,R,10,R,12,Z,0,Z,0,Z,0,R,1,Z,0,R,21,Z,0,R,22,2003
74428,175519,11,18,Z,0,Z,0,R,16,R,13,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,10,Z,0,R,1,R,18,R,24,Z,0,R,29,Z,0,Z,0,Z,0,R,12,R,1,R,42,2003
74468,175528,11,18,Z,0,Z,0,R,1,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,3,R,6,Z,0,Z,0,R,4,R,10,Z,0,R,5,Z,0,Z,0,Z,0,R,9,Z,0,R,14,2003
74492,175573,11,18,Z,0,Z,0,R,4,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,38,R,54,Z,0,Z,0,R,42,R,58,Z,0,R,8,Z,0,Z,0,Z,0,R,92,Z,0,R,100,2003
74533,175616,11,18,R,0,R,0,R,2,R,8,R,0,R,0,R,2,R,0,R,2,R,0,R,74,R,64,R,0,R,0,R,80,R,72,R,0,R,10,R,0,R,2,R,2,R,138,R,0,R,152,2003
74595,175643,11,18,Z,0,Z,0,R,2,R,2,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,24,R,43,Z,0,Z,0,R,27,R,45,Z,0,R,4,Z,0,R,1,Z,0,R,67,Z,0,R,72,2003
74637,175652,11,18,Z,0,Z,0,R,1,R,8,Z,0,Z,0,R,1,Z,0,Z,0,R,1,R,34,R,45,Z,0,Z,0,R,36,R,54,Z,0,R,9,Z,0,R,1,R,1,R,79,Z,0,R,90,2003
74691,175786,11,18,R,0,R,0,R,31,R,52,R,0,R,0,R,2,R,2,R,0,R,1,R,114,R,178,R,0,R,0,R,147,R,233,R,0,R,83,R,0,R,4,R,1,R,292,R,0,R,380,2003
74750,175810,11,18,Z,0,Z,0,Z,0,R,6,Z,0,Z,0,R,1,R,1,Z,0,Z,0,R,44,R,64,Z,0,Z,0,R,45,R,71,Z,0,R,6,Z,0,R,2,Z,0,R,108,Z,0,R,116,2003
74801,175829,11,18,Z,0,Z,0,Z,0,R,6,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,60,R,73,Z,0,Z,0,R,61,R,79,Z,0,R,6,Z,0,R,1,Z,0,R,133,Z,0,R,140,2003
74853,175856,11,18,Z,0,Z,0,R,116,R,120,Z,0,Z,0,R,45,R,13,R,1,R,3,R,34,R,24,Z,0,Z,0,R,196,R,160,Z,0,R,236,Z,0,R,58,R,4,R,58,Z,0,R,356,2003
74923,175883,11,18,Z,0,Z,0,R,4,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,76,R,109,Z,0,Z,0,R,80,R,113,Z,0,R,8,Z,0,Z,0,Z,0,R,185,Z,0,R,193,2003
74975,175917,11,18,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2,R,0,R,0,R,0,R,2,R,0,R,0,R,0,R,0,R,0,R,0,R,2,R,0,R,2,2003
75003,175935,11,18,Z,0,Z,0,R,2,R,8,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,40,R,94,Z,0,Z,0,R,42,R,102,Z,0,R,10,Z,0,Z,0,Z,0,R,134,Z,0,R,144,2003
75050,175980,11,18,R,2,Z,0,R,1,R,1,Z,0,Z,0,R,2,R,1,R,1,Z,0,R,49,R,35,Z,0,R,1,R,55,R,38,R,2,R,2,Z,0,R,3,R,1,R,84,R,1,R,93,2003
75132,176008,11,18,Z,0,Z,0,R,3,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,43,R,78,Z,0,Z,0,R,46,R,83,Z,0,R,8,Z,0,Z,0,Z,0,R,121,Z,0,R,129,2003
75183,176017,11,18,R,34,R,14,R,13,R,12,R,2,Z,0,R,17,R,3,R,4,R,3,R,314,R,171,Z,0,Z,0,R,384,R,203,R,48,R,25,R,2,R,20,R,7,R,485,Z,0,R,587,2003
75252,176026,11,18,Z,0,Z,0,R,16,R,26,Z,0,Z,0,R,60,R,14,R,5,R,2,R,311,R,184,Z,0,Z,0,R,392,R,226,Z,0,R,42,Z,0,R,74,R,7,R,495,Z,0,R,618,2003
75322,176035,11,18,Z,0,Z,0,Z,0,R,5,Z,0,Z,0,Z,0,R,2,Z,0,R,1,R,51,R,75,Z,0,Z,0,R,51,R,83,Z,0,R,5,Z,0,R,2,R,1,R,126,Z,0,R,134,2003
75374,176044,11,18,R,0,Z,0,R,41,R,38,R,0,Z,0,R,11,R,3,Z,0,Z,0,R,12,R,5,Z,0,Z,0,R,64,R,46,R,0,R,79,R,0,R,14,Z,0,R,17,Z,0,R,110,2003
75428,176053,11,18,R,0,R,1,R,0,R,4,R,0,R,0,R,0,R,0,R,1,R,0,R,84,R,69,R,1,R,0,R,86,R,74,R,1,R,4,R,0,R,0,R,1,R,153,R,1,R,160,2003
75481,176071,11,18,Z,0,R,2,R,8,R,16,R,1,Z,0,R,3,R,1,R,2,R,1,R,142,R,178,R,1,Z,0,R,157,R,198,R,2,R,24,R,1,R,4,R,3,R,320,R,1,R,355,2003
75543,176080,11,18,R,35,R,11,R,17,R,18,R,1,Z,0,R,42,R,6,R,9,R,5,R,643,R,262,Z,0,Z,0,R,747,R,302,R,46,R,35,R,1,R,48,R,14,R,905,Z,0,R,1049,2003
75614,176169,11,18,Z,0,Z,0,Z,0,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,49,R,81,Z,0,Z,0,R,49,R,85,Z,0,R,4,Z,0,Z,0,Z,0,R,130,Z,0,R,134,2003
75665,176178,11,18,Z,0,Z,0,R,2,R,9,Z,0,Z,0,R,4,Z,0,Z,0,Z,0,R,57,R,114,Z,0,Z,0,R,63,R,123,Z,0,R,11,Z,0,R,4,Z,0,R,171,Z,0,R,186,2003
75718,176239,11,18,Z,0,Z,0,Z,0,R,5,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,R,45,R,80,R,1,Z,0,R,47,R,85,Z,0,R,5,R,1,Z,0,Z,0,R,125,R,1,R,132,2003
75763,176318,11,18,Z,0,R,0,R,14,R,8,Z,0,R,0,R,7,R,3,Z,0,R,0,R,8,R,3,Z,0,R,0,R,29,R,14,R,0,R,22,R,0,R,10,R,0,R,11,R,0,R,43,2003
75810,176354,11,18,Z,0,Z,0,R,1,R,4,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,R,20,R,42,Z,0,Z,0,R,21,R,47,Z,0,R,5,Z,0,R,1,Z,0,R,62,Z,0,R,68,2003
75866,176372,11,18,R,26,R,4,R,11,R,12,Z,0,R,2,R,10,R,7,R,5,R,4,R,364,R,242,Z,0,Z,0,R,416,R,271,R,30,R,23,R,2,R,17,R,9,R,606,Z,0,R,687,2003
75935,176406,11,18,R,2,R,3,R,10,R,25,R,2,R,1,R,4,R,2,Z,0,R,1,R,10,R,4,Z,0,Z,0,R,28,R,36,R,5,R,35,R,3,R,6,R,1,R,14,Z,0,R,64,2003
75979,176451,11,18,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,6,R,1,Z,0,Z,0,R,8,R,1,Z,0,R,1,Z,0,R,1,Z,0,R,7,Z,0,R,9,2003
76012,176460,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,4,R,1,Z,0,Z,0,R,4,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,R,5,Z,0,R,5,2003
76038,176479,11,18,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,32,R,45,Z,0,Z,0,R,33,R,46,Z,0,R,2,Z,0,Z,0,Z,0,R,77,Z,0,R,79,2003
76084,176549,11,18,Z,0,Z,0,R,1,R,2,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,1,R,12,Z,0,Z,0,R,3,R,14,Z,0,R,3,Z,0,R,1,Z,0,R,13,Z,0,R,17,2003
76107,176600,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,8,R,6,Z,0,Z,0,R,8,R,6,Z,0,Z,0,Z,0,Z,0,Z,0,R,14,Z,0,R,14,2003
76134,176619,11,18,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,1,R,0,R,7,R,1,R,0,R,0,R,9,R,1,R,0,R,0,R,0,R,1,R,1,R,8,R,0,R,10,2003
76165,176628,11,18,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,22,R,39,Z,0,Z,0,R,23,R,40,Z,0,R,2,Z,0,Z,0,Z,0,R,61,Z,0,R,63,2003
76203,176637,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,Z,0,Z,0,Z,0,R,15,R,2,Z,0,Z,0,R,17,R,2,Z,0,Z,0,Z,0,R,2,Z,0,R,17,Z,0,R,19,2003
76236,176664,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,23,R,12,Z,0,Z,0,R,23,R,12,Z,0,Z,0,Z,0,Z,0,Z,0,R,35,Z,0,R,35,2003
76270,176770,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,20,Z,0,Z,0,Z,0,R,20,Z,0,Z,0,Z,0,Z,0,Z,0,R,20,Z,0,R,20,2003
76300,176789,11,18,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,14,R,6,Z,0,Z,0,R,15,R,6,Z,0,R,1,Z,0,Z,0,Z,0,R,20,Z,0,R,21,2003
76332,176910,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,10,Z,0,Z,0,Z,0,R,10,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,10,Z,0,R,10,2003
76359,176938,11,18,R,0,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,26,R,11,R,0,R,0,R,28,R,11,R,0,R,1,R,0,R,0,R,1,R,37,R,0,R,39,2003
76398,176947,11,18,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,28,R,23,Z,0,Z,0,R,29,R,23,Z,0,R,1,Z,0,Z,0,Z,0,R,51,Z,0,R,52,2003
76442,176965,11,18,Z,0,Z,0,R,6,R,8,R,2,R,2,R,19,R,8,R,2,R,2,R,236,R,147,Z,0,Z,0,R,265,R,167,Z,0,R,14,R,4,R,27,R,4,R,383,Z,0,R,432,2003
76508,177038,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,25,R,7,Z,0,Z,0,R,26,R,7,Z,0,Z,0,Z,0,R,1,Z,0,R,32,Z,0,R,33,2003
76548,177065,11,18,R,0,R,0,R,0,R,0,R,1,R,1,R,1,R,1,R,0,R,0,R,30,R,24,R,0,R,1,R,32,R,27,R,0,R,0,R,2,R,2,R,0,R,54,R,1,R,59,2003
76594,177083,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,3,Z,0,Z,0,Z,0,R,3,R,1,Z,0,Z,0,Z,0,Z,0,R,1,R,3,Z,0,R,4,2003
76616,177092,11,18,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,Z,0,R,1,Z,0,R,39,Z,0,Z,0,Z,0,R,43,Z,0,R,1,Z,0,Z,0,R,2,R,1,R,39,Z,0,R,43,2003
76656,177117,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,16,R,18,Z,0,Z,0,R,17,R,18,Z,0,Z,0,Z,0,R,1,Z,0,R,34,Z,0,R,35,2003
76697,177126,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,16,Z,0,Z,0,Z,0,R,16,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,16,Z,0,R,16,2003
76734,177135,11,18,Z,0,Z,0,Z,0,Z,0,R,1,R,3,Z,0,Z,0,Z,0,Z,0,R,29,R,29,Z,0,Z,0,R,30,R,32,Z,0,Z,0,R,4,Z,0,Z,0,R,58,Z,0,R,62,2003
76785,177144,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,38,R,17,R,2,Z,0,R,40,R,17,Z,0,Z,0,Z,0,Z,0,Z,0,R,55,R,2,R,57,2003
76829,177153,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,21,Z,0,Z,0,R,1,R,21,Z,0,Z,0,Z,0,Z,0,Z,0,R,22,Z,0,R,22,2003
76856,177162,11,18,Z,0,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,50,R,18,Z,0,Z,0,R,52,R,19,Z,0,R,2,Z,0,Z,0,R,1,R,68,Z,0,R,71,2003
76893,177214,11,18,R,1,Z,0,Z,0,R,2,Z,0,R,1,R,4,R,4,Z,0,R,1,R,72,R,36,Z,0,Z,0,R,77,R,44,R,1,R,2,R,1,R,8,R,1,R,108,Z,0,R,121,2003
76943,177250,11,18,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,1,Z,0,Z,0,R,31,R,19,Z,0,Z,0,R,32,R,21,Z,0,Z,0,R,2,R,1,Z,0,R,50,Z,0,R,53,2003
76984,177278,11,18,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,5,R,6,Z,0,Z,0,R,6,R,7,R,1,R,1,Z,0,Z,0,Z,0,R,11,Z,0,R,13,2003
77015,177302,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,6,R,5,Z,0,Z,0,R,7,R,5,Z,0,Z,0,Z,0,Z,0,R,1,R,11,Z,0,R,12,2003
77038,177339,11,18,R,0,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,64,R,32,R,0,R,0,R,66,R,32,R,0,R,1,R,0,R,0,R,1,R,96,R,0,R,98,2003
77083,177418,11,18,Z,0,Z,0,R,1,R,3,Z,0,Z,0,R,2,R,1,Z,0,Z,0,R,16,R,35,R,1,Z,0,R,20,R,39,Z,0,R,4,Z,0,R,3,Z,0,R,51,R,1,R,59,2003
77132,177427,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,2,R,3,R,6,Z,0,Z,0,R,3,R,9,Z,0,Z,0,Z,0,R,1,R,2,R,9,Z,0,R,12,2003
